id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous,relative_velocity,miss_distance,orbiting_body,has_missing_data,orbital_stability_index,diameter_diff,diameter_velocity_ratio,energy_proxy,proximity_risk,approach_month,approach_day,close_approach_date,close_approach_date_display,size_uncertainty
3632080,(2013 EG68),24.9,0.0278326768,0.0622357573,False,18.6786907494,22143040.953764476,Earth,False,8.4354677338139e-07,0.0344030805,0.003331912184583876,21.713650449671515,0.7038271525786644,3,16,2025-03-16,2025-03-16,2.2360679767603235
3758247,(2016 QE44),21.57,0.1289896833,0.2884297004,False,18.2207466839,28319657.452524807,Earth,False,6.433957301371083e-07,0.1594400171,0.015829740976249826,95.75739424532405,0.6212122082407482,3,16,2025-03-16,2025-03-16,2.2360679786241477
3802451,(2018 GJ2),20.6,0.2016299194,0.4508582062,False,12.2272359858,23280686.4695335,Earth,False,5.252094263543858e-07,0.2492282868,0.0368732726450688,67.40569130886536,0.6886106467489109,3,16,2025-03-16,2025-03-16,2.236067978113768
54075550,(2020 UF2),21.73,0.1198270801,0.2679414966,True,14.9425193644,27889193.41130528,Earth,False,5.357816966604291e-07,0.1481144165,0.017931480633604578,59.82567859414759,0.6269698528689948,3,16,2025-03-16,2025-03-16,2.236067977091599
54194978,(2021 RU7),23.47,0.0537718498,0.1202375114,False,11.8894074986,22378852.689596742,Earth,False,5.312786881218012e-07,0.0664656616,0.010112994395570863,16.996535419146827,0.7006730675818186,3,16,2025-03-16,2025-03-16,2.2360679769658955
54298762,(2022 QF7),22.05,0.1034081995,0.2312277636,False,19.8013747064,74763912.85209131,Earth,False,2.6485203824970905e-07,0.1278195641,0.011677359124226102,90.66312054206688,0.0,3,16,2025-03-16,2025-03-16,2.2360679783424717
54427469,(2024 DQ),24.87,0.0282198679,0.063101543,False,7.777261175,30238534.236589726,Earth,False,2.571970292656987e-07,0.034881675099999995,0.008113594436411607,3.8167467659167515,0.595546392864537,3,16,2025-03-16,2025-03-16,2.2360679796095004
54489167,(2024 TT5),24.64,0.0313729225,0.0701519874,False,16.7378745713,44033322.677797996,Earth,False,3.80118363853096e-07,0.03877906490000001,0.004191212396840863,19.65353141121379,0.4110350702897128,3,16,2025-03-16,2025-03-16,2.2360679786844853
54505727,(2024 XD11),28.09,0.0064055286,0.0143231974,False,1.4092439415,20046190.605637535,Earth,False,7.029983747154845e-08,0.0079176688,0.010163745947883501,0.028445418664531028,0.7318734421338302,3,16,2025-03-16,2025-03-16,2.2360679804005557
54522530,(2025 EC1),26.353,0.0142545981,0.0318742503,False,6.4928900002,3281813.879613983,Earth,False,1.978445529934718e-06,0.017619652199999995,0.004909100616061288,1.3437425496128417,0.9561043054808201,3,16,2025-03-16,2025-03-16,2.2360679744453824
3553062,(2010 XA11),26.1,0.0160160338,0.0358129403,False,16.2789116817,26025592.875647705,Earth,False,6.254962858860467e-07,0.0197969065,0.002199959125047607,9.490535384228059,0.6518963242716407,3,17,2025-03-17,2025-03-17,2.236067977079319
3714001,(2015 FN35),23.73,0.0477040198,0.1066694311,False,19.8101606607,41798940.08139867,Earth,False,4.739393061671413e-07,0.058965411300000006,0.005384581827830103,41.86161452399233,0.44092091375566006,3,17,2025-03-17,2025-03-17,2.236067978070058
3831218,(2018 TD2),26.5,0.0133215567,0.0297879063,False,20.7039822274,73826392.17115074,Earth,False,2.8044147382147885e-07,0.0164663496,0.001438752505330988,12.768731402637222,0.012539748726037202,3,17,2025-03-17,2025-03-17,2.2360679739478195
3976545,(2020 AB2),27.0,0.0105816886,0.023661375,False,6.8972264046,48738059.70606939,Earth,False,1.4151622871726841e-07,0.013079686399999998,0.003430563767519565,1.1256125920571334,0.34810715695833094,3,17,2025-03-17,2025-03-17,2.236067975011096
54248634,(2022 DX3),25.38,0.0223128464,0.0498930414,False,15.0917565033,53070093.94166674,Earth,False,2.8437403031335243e-07,0.027580195,0.0033059797505406523,11.36369470781905,0.29016430631904455,3,17,2025-03-17,2025-03-17,2.236067980999502
54342587,(2023 EF),26.18,0.0154367182,0.0345175513,False,4.3535741662,19128895.317364372,Earth,False,2.275915098060062e-07,0.0190808331,0.007928554787922336,0.6542321371712908,0.7441426673961288,3,17,2025-03-17,2025-03-17,2.2360679810816264
54505035,(2024 XA8),22.86,0.0712122941,0.1592355304,False,8.8949605381,14996847.254329775,Earth,False,5.931220334015148e-07,0.08802323629999999,0.01790176917794549,12.598766594240919,0.7994106156000866,3,17,2025-03-17,2025-03-17,2.236067976919732
2141078,141078 (2001 XQ30),18.65,0.4949427609,1.1067256584,False,6.6943579367,29107287.904348034,Earth,False,2.2998906523681996e-07,0.6117828975,0.16532215170818354,49.59727753848546,0.6106773068187022,3,18,2025-03-18,2025-03-18,2.236067977613288
2303450,303450 (2005 BY2),20.49,0.2121069879,0.4742856434,True,7.2502330399,25586139.034666482,Earth,False,2.833656547428555e-07,0.2621786555,0.06541660672007056,24.931241805414004,0.6577742113994937,3,18,2025-03-18,2025-03-18,2.2360679772776124
3557535,(2011 CK50),24.2,0.0384197891,0.0859092601,False,11.9232910188,14658609.23782037,Earth,False,8.133985172370219e-07,0.047489471,0.007205163403672939,12.213278683862645,0.8039346968527432,3,18,2025-03-18,2025-03-18,2.236067977270599
3781467,(2017 RY15),22.73,0.0756057762,0.1690596552,False,11.1457584592,17133773.585288037,Earth,False,6.505139339981904e-07,0.09345387899999999,0.015168070958908476,21.001931287717014,0.770828292264685,3,18,2025-03-18,2025-03-18,2.236067979155275
54055085,(2020 TL2),24.5,0.0334622374,0.0748238376,False,14.8472655474,46406320.1472951,Earth,False,3.199405921493951e-07,0.0413616002,0.0050395702401310445,16.49426360017428,0.3792951923329276,3,18,2025-03-18,2025-03-18,2.23606798031981
54062082,(2020 TS4),27.9,0.0069912523,0.0156329154,False,6.8309498324,56647272.85350299,Earth,False,1.2058744381332708e-07,0.008641663099999999,0.002288541971989201,0.7294611538596875,0.242317975443972,3,18,2025-03-18,2025-03-18,2.236067978836924
54105264,(2021 AA5),25.8,0.0183888672,0.0411187571,False,8.3326483251,69827853.11615211,Earth,False,1.1933129765910772e-07,0.0227298899,0.0049346564856385606,2.854999817564002,0.06602195561519668,3,18,2025-03-18,2025-03-18,2.236067978129724
54316913,(2022 UR1),24.04,0.0413575665,0.0924783301,False,17.3430024795,36971497.7938257,Earth,False,4.6909115168161537e-07,0.05112076360000001,0.005332313721877883,27.815607621085185,0.5054900635421795,3,18,2025-03-18,2025-03-18,2.2360679780325086
54340261,(2023 BJ5),28.31,0.0057883526,0.0129431498,False,5.0206961815,72476693.90366499,Earth,False,6.927325062831149e-08,0.007154797199999999,0.002577959177791368,0.3262630267387419,0.030592552759393765,3,18,2025-03-18,2025-03-18,2.236067961720231
54381339,(2023 RZ3),25.7,0.0192555078,0.0430566244,False,18.7303118917,16189487.265877781,Earth,False,1.15694287188313e-06,0.0238011166,0.0022987670813468817,15.105322324644769,0.7834585343612747,3,18,2025-03-18,2025-03-18,2.2360679784305666
54430777,(2024 EH4),23.81,0.0459785188,0.1028110936,False,14.2875016875,55989458.2123001,Earth,False,2.551819957486432e-07,0.0568325748,0.007195876217459939,20.98710658611873,0.25111653368027337,3,18,2025-03-18,2025-03-18,2.2360679787709907
54499613,(2024 VB4),24.51,0.0333084924,0.0744800533,False,13.6636996006,51532624.12282436,Earth,False,2.651465907894296e-07,0.0411715609,0.005450943410431054,13.905179181967922,0.3107286368923255,3,18,2025-03-18,2025-03-18,2.2360679794682032
54521713,(2025 DU25),27.235,0.009496312,0.0212343993,False,5.3373547603,1114818.047670408,Earth,False,4.78764653250211e-06,0.011738087300000002,0.0039784500475674705,0.604911888850352,0.985088821529768,3,18,2025-03-18,2025-03-18,2.2360679914476274
54523832,(2025 FB),23.974,0.0426338916,0.0953322798,False,7.4989211591,12463013.045733603,Earth,False,6.016940792392949e-07,0.0526983882,0.01271279931838109,5.360898124268942,0.8333017552145817,3,18,2025-03-18,2025-03-18,2.236067978368646
54523942,(2025 FC),28.847,0.0045201722,0.0101074122,False,17.175906421,66176.098813413,Earth,False,0.0002595484884871859,0.00558724,0.0005884645591479378,2.981805476145508,0.9991148657649268,3,18,2025-03-18,2025-03-18,2.2360679533403616
54523943,(2025 FD),23.923,0.0436470581,0.0975977889,False,24.5387634214,1944289.662392019,Earth,False,1.2620940128442832e-05,0.0539507308,0.003977290429186256,58.76859742466274,0.9739942762728525,3,18,2025-03-18,2025-03-18,2.2360679768243075
3732114,(2015 UG51),25.8,0.0183888672,0.0411187571,False,18.1233610962,52212414.047859415,Earth,False,3.4710827734545274e-07,0.0227298899,0.0022688262338171664,13.505711422211638,0.3016361496334001,3,19,2025-03-19,2025-03-19,2.236067978129724
3750669,(2016 GC135),23.49,0.0532788665,0.1191351672,False,8.7800069917,29904822.931948222,Earth,False,2.9359836076207143e-07,0.06585630070000001,0.013568914843988393,9.183954049917345,0.6000099273681645,3,19,2025-03-19,2025-03-19,2.2360679764086195
3764835,(2016 WM8),24.2,0.0384197891,0.0859092601,False,8.5119706044,72927066.57902199,Earth,False,1.1671894954360514e-07,0.047489471,0.010092758080671926,6.224438910662402,0.02456862145114361,3,19,2025-03-19,2025-03-19,2.236067977270599
54296739,(2022 QO2),27.66,0.0078082728,0.0174598287,False,16.3409066888,9310511.430309538,Earth,False,1.7551030156736224e-06,0.009651555899999999,0.0010684736797357092,4.662214799032577,0.8754678417015316,3,19,2025-03-19,2025-03-19,2.2360679688342855
54416960,(2023 XR14),28.34,0.0057089334,0.0127655632,False,17.2112008625,34310532.08398954,Earth,False,5.016302522026854e-07,0.007056629799999999,0.0007417009017548441,3.7814845135908444,0.5410816425316376,3,19,2025-03-19,2025-03-19,2.2360679842577946
54458504,(2024 NV1),25.16,0.0246919266,0.0552128263,False,9.0847815967,73932626.06169449,Earth,False,1.2287919529760827e-07,0.030520899699999996,0.006077507280973686,4.556894363927486,0.011118824024652042,3,19,2025-03-19,2025-03-19,2.2360679745419296
54490132,(2024 TT9),24.66,0.0310852938,0.0695088301,False,14.8237397756,58831928.205367304,Earth,False,2.519676003794078e-07,0.038423536300000005,0.004689021201951488,15.274096989930415,0.21309725560034481,3,19,2025-03-19,2025-03-19,2.2360679795151235
54520803,(2025 DE7),25.211,0.02411876,0.053931187,False,4.3204421747,18175295.408562593,Earth,False,2.377095985281532e-07,0.029812427,0.012482793385319371,1.0066914329489187,0.7568974828200931,3,19,2025-03-19,2025-03-19,2.236067981936053
54522521,(2025 CE13),21.391,0.1400731762,0.3132131439,True,14.1471076605,17149732.850617293,Earth,False,8.249170866816613e-07,0.17313996769999998,0.02213973000110258,62.68668382417333,0.7706148301180363,3,19,2025-03-19,2025-03-19,2.236067978160118
54522918,(2025 EQ2),26.923,0.0109636453,0.0245154562,False,6.1796308342,2009206.730571725,Earth,False,3.075657044231367e-06,0.0135518109,0.003967139277046104,0.9361922514014441,0.9731259821225966,3,19,2025-03-19,2025-03-19,2.236067980054043
